SMILES;cpd;ChEBI;compoundname;value_NR_AR;label_NR_AR;value_NR_AR_LBD;label_NR_AR_LBD;value_NR_AhR;label_NR_AhR;value_NR_Aromatase;label_NR_Aromatase;value_NR_ER;label_NR_ER;value_NR_ER_LBD;label_NR_ER_LBD;value_NR_PPAR_gamma;label_NR_PPAR_gamma;value_NR_GR;label_NR_GR;value_NR_TR;label_NR_TR;value_SR_ARE;label_SR_ARE;value_SR_ATAD5;label_SR_ATAD5;value_SR_HSE;label_SR_HSE;value_SR_MMP;label_SR_MMP;value_SR_p53;label_SR_p53;value_Gen_AMES_Mutagenesis;label_Gen_AMES_Mutagenesis;value_Gen_Carcinogenesis;label_Gen_Carcinogenesis;value_Gen_Micronucleus;label_Gen_Micronucleus;value_Env_Fathead_Minnow;label_Env_Fathead_Minnow;value_Env_T_Pyriformis;label_Env_T_Pyriformis;value_Env_Honey_Bee;label_Env_Honey_Bee;value_Env_Biodegradation;label_Env_Biodegradation;value_Env_Crustacean;label_Env_Crustacean;value_Env_Avian;label_Env_Avian;value_Org_Skin_Sensitisation;label_Org_Skin_Sensitisation;value_Org_hERG_I_Inhibitor;label_Org_hERG_I_Inhibitor;value_Org_hERG_II_Inhibitor;label_Org_hERG_II_Inhibitor;value_Org_Liver_Injury_I;label_Org_Liver_Injury_I;value_Org_Liver_Injury_II;label_Org_Liver_Injury_II;value_Org_Eye_Irritation;label_Org_Eye_Irritation;value_Org_Eye_Corrosion;label_Org_Eye_Corrosion;value_Org_Respiratory_Disease;label_Org_Respiratory_Disease
NCl;C19359;82415;Chloramine;0.03;High Safety;0;High Safety;0;High Safety;0;High Safety;0.1;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0.04;High Safety;0;High Safety;0.05;High Safety;0.01;High Safety;0.02;High Safety;0.46;Low Safety;0.15;High Safety;0.5;Low Toxicity;0.12;High Safety;0.32;Medium Safety;0.59;Low Toxicity;0.06;High Safety;0.58;Low Toxicity;0.01;High Safety;0.7;Medium Toxicity;0.01;High Safety;0.36;Low Safety;0;High Safety;0.43;Low Safety;0.1;High Safety;0.86;High Toxicity;0.19;Medium Safety
NN;C05361;15571;Hydrazine;0.02;High Safety;0.01;High Safety;0.79;Medium Toxicity;0;High Safety;0.1;High Safety;0.02;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.05;High Safety;0;High Safety;0.03;High Safety;0.03;High Safety;0.02;High Safety;1;High Toxicity;1;High Toxicity;0.5;Low Toxicity;0.12;High Safety;0.18;Medium Safety;1;High Toxicity;0.09;High Safety;0.22;Medium Safety;0.01;High Safety;0.87;High Toxicity;0;High Safety;0.23;Medium Safety;0.07;High Safety;0.61;Low Toxicity;0.35;Low Safety;0.85;High Toxicity;0.4;Low Safety
NS(=O)(=O)c1cc2c(NCNS2(=O)=O)cc1Cl;C07041;5778;Hydrochlorothiazide;0;High Safety;0;High Safety;0.07;High Safety;0;High Safety;0.1;High Safety;0.04;High Safety;0.01;High Safety;0.03;High Safety;0;High Safety;0.08;High Safety;0.01;High Safety;0;High Safety;0.02;High Safety;0.02;High Safety;0;High Safety;0.02;High Safety;0.51;Low Toxicity;0.61;Low Toxicity;0.83;Medium Toxicity;0.55;Low Toxicity;0.01;High Safety;0.48;Low Safety;0.01;High Safety;0.26;Medium Safety;0.14;High Safety;0;High Safety;1;High Toxicity;0.08;High Safety;0;High Safety;0.01;High Safety;1;High Toxicity
O[As](O)O;C13619;49900;Arsenous oxide;0.04;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0.06;High Safety;0.17;Medium Safety;0.01;High Safety;0.01;High Safety;0.11;High Safety;0.02;High Safety;0.14;High Safety;0.15;High Safety;0.5;Low Toxicity;0.14;High Safety;0.19;Medium Safety;0.86;High Toxicity;0.13;High Safety;0.32;Medium Safety;0.01;High Safety;0.22;Medium Safety;0.02;High Safety;0.29;Medium Safety;0.01;High Safety;0.25;Medium Safety;0.11;High Safety;0.31;Medium Safety;0.46;Low Safety
O[C@@H]1C=CC=C2c3ccccc3C(=O)[C@@]12O;C16262;80405;1-Hydro-1.1a-dihydroxy-9-fluorenone;0.03;High Safety;0;High Safety;0.07;High Safety;0.08;High Safety;0.2;Medium Safety;0.02;High Safety;0.01;High Safety;0.04;High Safety;0.19;Medium Safety;0.39;Low Safety;0.06;High Safety;0.05;High Safety;0.1;High Safety;0.14;High Safety;0.53;Low Toxicity;0.1;High Safety;0.5;Low Toxicity;0.37;Low Safety;0.92;High Toxicity;0.57;Low Toxicity;0.2;Medium Safety;0.36;Low Safety;0.09;High Safety;0.75;Medium Toxicity;0.06;High Safety;0.15;High Safety;0.52;Low Toxicity;0.15;High Safety;0.76;Medium Toxicity;0.04;High Safety;0.73;Medium Toxicity
O[C@@H]1C=Cc2cc3ccc4cccc5ccc(c2[C@@H]1O)c3c45;C18276;81627;Benzo[a]pyrene-cis-9.10-dihydrodiol;0.03;High Safety;0.12;High Safety;0.4;Low Safety;0.13;High Safety;0.23;Medium Safety;0.08;High Safety;0.05;High Safety;0.47;Low Safety;0.44;Low Safety;0.58;Low Toxicity;0.04;High Safety;0.29;Medium Safety;0.19;Medium Safety;0.48;Low Safety;0.97;High Toxicity;0.15;High Safety;0.5;Low Toxicity;1;High Toxicity;1;High Toxicity;0.74;Medium Toxicity;0.03;High Safety;0.86;High Toxicity;0.36;Low Safety;0.79;Medium Toxicity;0.16;High Safety;0.47;Low Safety;0.16;High Safety;0.12;High Safety;0.08;High Safety;0.03;High Safety;0.48;Low Safety
O[C@H]1[C@@H](O)c2cccc3ccc4cccc1c4c23;C18249;81600;cis-4.5-Dihydroxy-4.5-dihydropyrene;0.03;High Safety;0;High Safety;0.85;High Toxicity;0.11;High Safety;0.48;Low Safety;0.08;High Safety;0.04;High Safety;0.49;Low Safety;0.33;Medium Safety;0.46;Low Safety;0.06;High Safety;0.15;High Safety;0.17;Medium Safety;0.4;Low Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.93;High Toxicity;1;High Toxicity;0.45;Low Safety;0.14;High Safety;0.77;Medium Toxicity;0.17;Medium Safety;0.68;Medium Toxicity;0.2;Medium Safety;0.44;Low Safety;0.26;Medium Safety;0.16;High Safety;0.99;High Toxicity;0.12;High Safety;0.33;Medium Safety
O[C@H]1C=C(C(O)=O)C(=C[C@H]1O)C(O)=O;C04783;17692;cis-4.5-Dihydroxycyclohexa-1(6).2-diene-1.2-dicarboxylate;0.13;High Safety;0.02;High Safety;0;High Safety;0.03;High Safety;0.09;High Safety;0;High Safety;0.01;High Safety;0.05;High Safety;0;High Safety;0.05;High Safety;0.02;High Safety;0.02;High Safety;0.03;High Safety;0.01;High Safety;0.21;Medium Safety;0.15;High Safety;0.52;Low Toxicity;0.4;Low Safety;0.27;Medium Safety;0.04;High Safety;0.8;Medium Toxicity;0.4;Low Safety;0;High Safety;0.47;Low Safety;0;High Safety;0.06;High Safety;0.21;Medium Safety;0.29;Medium Safety;0.99;High Toxicity;0.09;High Safety;0.43;Low Safety
O[C@H]1C=C(C=C[C@]1(O)C(O)=O)C(O)=O;C06318;15564;(3S.4R)-3.4-Dihydroxycyclohexa-1.5-diene-1.4-dicarboxylate;0.09;High Safety;0.01;High Safety;0;High Safety;0.09;High Safety;0.06;High Safety;0;High Safety;0.01;High Safety;0.06;High Safety;0.01;High Safety;0.08;High Safety;0.01;High Safety;0.03;High Safety;0.03;High Safety;0.02;High Safety;0.29;Medium Safety;0.15;High Safety;0.52;Low Toxicity;0.35;Low Safety;0.33;Medium Safety;0.04;High Safety;0.66;Low Toxicity;0.47;Low Safety;0;High Safety;0.44;Low Safety;0.01;High Safety;0.13;High Safety;0.58;Low Toxicity;0.23;Medium Safety;0.78;Medium Toxicity;0.09;High Safety;0.52;Low Toxicity
O[C@H]1C=CC(C(O)=O)=C([C@H]1O)C(O)=O;C18314;81665;Phthalate 3.4-cis-dihydrodiol;0.03;High Safety;0.01;High Safety;0;High Safety;0.02;High Safety;0.07;High Safety;0;High Safety;0.02;High Safety;0.07;High Safety;0;High Safety;0.06;High Safety;0.01;High Safety;0.02;High Safety;0.01;High Safety;0.02;High Safety;0.26;Medium Safety;0.15;High Safety;0.52;Low Toxicity;0.41;Low Safety;0.28;Medium Safety;0.05;High Safety;0.75;Medium Toxicity;0.27;Medium Safety;0;High Safety;0.43;Low Safety;0.01;High Safety;0.1;High Safety;0.49;Low Safety;0.27;Medium Safety;0.95;High Toxicity;0.11;High Safety;0.41;Low Safety
O[C@H]1C=CC=C([C@H]1O)c1ccc(Cl)cc1;C06585;28974;cis-2.3-Dihydro-2.3-dihydroxy-4'-chlorobiphenyl;0.01;High Safety;0.01;High Safety;0.09;High Safety;0.16;High Safety;0.13;High Safety;0;High Safety;0.01;High Safety;0.06;High Safety;0.1;High Safety;0.39;Low Safety;0.01;High Safety;0.13;High Safety;0.22;Medium Safety;0.03;High Safety;0.22;Medium Safety;0.15;High Safety;0.5;Low Toxicity;0.92;High Toxicity;0.98;High Toxicity;0.72;Medium Toxicity;0.03;High Safety;0.69;Medium Toxicity;0.05;High Safety;0.75;Medium Toxicity;0.13;High Safety;0.18;Medium Safety;0.48;Low Safety;0.31;Medium Safety;0.86;High Toxicity;0.19;Medium Safety;0.28;Medium Safety
O[C@H]1C=CC2=C([C@H]1O)c1ccccc1C2;C07721;28234;(+)-(3S.4R)-cis-3.4-Dihydroxy-3.4-dihydrofluorene;0.03;High Safety;0.01;High Safety;0.08;High Safety;0.22;Medium Safety;0.16;High Safety;0.02;High Safety;0.01;High Safety;0.04;High Safety;0.38;Low Safety;0.28;Medium Safety;0.01;High Safety;0.09;High Safety;0.02;High Safety;0.13;High Safety;0.58;Low Toxicity;0.15;High Safety;0.5;Low Toxicity;0.54;Low Toxicity;0.92;High Toxicity;0.61;Low Toxicity;0.09;High Safety;0.45;Low Safety;0.02;High Safety;0.85;High Toxicity;0.21;Medium Safety;0.14;High Safety;0.56;Low Toxicity;0.29;Medium Safety;0.83;Medium Toxicity;0.05;High Safety;0.56;Low Toxicity
O[C@H]1C=Cc2cc3ccccc3cc2[C@H]1O;C16203;80375;Anthracene-cis-1.2-dihydrodiol;0.01;High Safety;0.01;High Safety;0.71;Medium Toxicity;0.11;High Safety;0.28;Medium Safety;0.04;High Safety;0.02;High Safety;0.12;High Safety;0.13;High Safety;0.44;Low Safety;0.07;High Safety;0.01;High Safety;0.05;High Safety;0.08;High Safety;0.76;Medium Toxicity;0.15;High Safety;0.5;Low Toxicity;0.93;High Toxicity;0.99;High Toxicity;0.9;High Toxicity;0.11;High Safety;0.71;Medium Toxicity;0.02;High Safety;0.76;Medium Toxicity;0.11;High Safety;0.17;Medium Safety;0.29;Medium Safety;0.18;Medium Safety;0.93;High Toxicity;0.03;High Safety;0.43;Low Safety
O[C@H]1C=Cc2ccc3ccccc3c2[C@H]1O;C04468;15386;(+)-cis-3.4-Dihydrophenanthrene-3.4-diol;0.05;High Safety;0.02;High Safety;0.95;High Toxicity;0.13;High Safety;0.24;Medium Safety;0.01;High Safety;0.02;High Safety;0.13;High Safety;0.13;High Safety;0.35;Low Safety;0.02;High Safety;0;High Safety;0.05;High Safety;0.1;High Safety;0.9;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.93;High Toxicity;0.99;High Toxicity;0.4;Low Safety;0.11;High Safety;0.69;Medium Toxicity;0.02;High Safety;0.77;Medium Toxicity;0.08;High Safety;0.15;High Safety;0.26;Medium Safety;0.23;Medium Safety;0.82;Medium Toxicity;0.03;High Safety;0.44;Low Safety
O[N+]([O-])=O;C00244;48107;Nitrate;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.04;High Safety;0.04;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0.34;Low Safety;0.02;High Safety;0;High Safety;0.06;High Safety;0.01;High Safety;0.43;Low Safety;0.15;High Safety;0.5;Low Toxicity;0.26;Medium Safety;0.45;Low Safety;0.29;Medium Safety;0.8;Medium Toxicity;0.28;Medium Safety;0.01;High Safety;0.69;Medium Toxicity;0.02;High Safety;0.35;Low Safety;0;High Safety;0.45;Low Safety;0.88;High Toxicity;0.59;Low Toxicity;0.21;Medium Safety
O=C(C1=CC=CC=C1)C1=CC=CC=C1;C06354;41308;Benzophenone;0;High Safety;0;High Safety;0.09;High Safety;0;High Safety;0.33;Medium Safety;0.05;High Safety;0.03;High Safety;0;High Safety;0;High Safety;0.08;High Safety;0.01;High Safety;0;High Safety;0.07;High Safety;0.01;High Safety;0;High Safety;0.1;High Safety;0.5;Low Toxicity;0.94;High Toxicity;0.99;High Toxicity;0.82;Medium Toxicity;0.41;Low Safety;0.73;Medium Toxicity;0.01;High Safety;0.75;Medium Toxicity;0.02;High Safety;0.04;High Safety;0.33;Medium Safety;0.44;Low Safety;0.55;Low Toxicity;0.32;Medium Safety;0;High Safety
O=C1c2ccccc2-c2ccccc12;C06712;17922;Fluoren-9-one;0;High Safety;0;High Safety;0.12;High Safety;0;High Safety;0.26;Medium Safety;0.05;High Safety;0.02;High Safety;0.01;High Safety;0.01;High Safety;0.09;High Safety;0.19;Medium Safety;0.02;High Safety;0.71;Medium Toxicity;0.01;High Safety;0;High Safety;0.1;High Safety;0.5;Low Toxicity;0.94;High Toxicity;0.99;High Toxicity;0.04;High Safety;0.19;Medium Safety;0.86;High Toxicity;0.02;High Safety;0.7;Medium Toxicity;0.05;High Safety;0.07;High Safety;0.38;Low Safety;0.33;Medium Safety;0.96;High Toxicity;0.63;Low Toxicity;0.44;Low Safety
O=c1cc[nH]c(=S)[nH]1;C19304;348530;Thiouracil;0;High Safety;0.03;High Safety;0.03;High Safety;0;High Safety;0.02;High Safety;0.02;High Safety;0.01;High Safety;0.03;High Safety;0;High Safety;0.03;High Safety;0.04;High Safety;0;High Safety;0.03;High Safety;0.01;High Safety;0.27;Medium Safety;0;High Safety;0.5;Low Toxicity;0.15;High Safety;0.62;Low Toxicity;0.01;High Safety;0.01;High Safety;0.77;Medium Toxicity;0;High Safety;0.72;Medium Toxicity;0.04;High Safety;0.3;Medium Safety;0.07;High Safety;0.22;Medium Safety;0.97;High Toxicity;0.41;Low Safety;0.4;Low Safety
O=c1cc2oc3ccccc3oc2cc1=O;C03861;17036;Dibenzo[1.4]dioxin-2.3-dione;0.04;High Safety;0.03;High Safety;0.18;Medium Safety;0.02;High Safety;0.23;Medium Safety;0.01;High Safety;0.02;High Safety;0.07;High Safety;0.16;High Safety;0.41;Low Safety;0.02;High Safety;0.04;High Safety;0.24;Medium Safety;0.05;High Safety;0.53;Low Toxicity;0.12;High Safety;0.51;Low Toxicity;0.77;Medium Toxicity;0.98;High Toxicity;0.05;High Safety;0.08;High Safety;0.66;Low Toxicity;0.02;High Safety;0.79;Medium Toxicity;0.11;High Safety;0.07;High Safety;0.64;Low Toxicity;0.19;Medium Safety;0.99;High Toxicity;0.18;Medium Safety;0.75;Medium Toxicity
O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1;C07443;8107;Phenytoin;0;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.26;Medium Safety;0.02;High Safety;0.02;High Safety;0.11;High Safety;0.05;High Safety;0.11;High Safety;0.12;High Safety;0;High Safety;0.03;High Safety;0.04;High Safety;0;High Safety;0;High Safety;0.51;Low Toxicity;0.7;Medium Toxicity;1;High Toxicity;0.87;High Toxicity;0.08;High Safety;0.68;Medium Toxicity;0.01;High Safety;0.75;Medium Toxicity;0;High Safety;0;High Safety;0.31;Medium Safety;0.08;High Safety;0.8;Medium Toxicity;0.02;High Safety;1;High Toxicity
O=CC1CO1;C19246;82332;Glycidaldehyde;0;High Safety;0;High Safety;0;High Safety;0.15;High Safety;0.03;High Safety;0;High Safety;0.01;High Safety;0.07;High Safety;0.01;High Safety;0.04;High Safety;0.01;High Safety;0;High Safety;0;High Safety;0;High Safety;1;High Toxicity;0.15;High Safety;0.5;Low Toxicity;0.49;Low Safety;0.81;Medium Toxicity;0.66;Low Toxicity;0.96;High Toxicity;0.23;Medium Safety;0.01;High Safety;0.84;High Toxicity;0.03;High Safety;0.27;Medium Safety;0.26;Medium Safety;0.42;Low Safety;0.99;High Toxicity;0.95;High Toxicity;0.27;Medium Safety
O=NN1CCCC1c1cccnc1;C16452;80502;N'-Nitrosonornicotine;0.03;High Safety;0;High Safety;0.26;Medium Safety;0.06;High Safety;0.08;High Safety;0.01;High Safety;0.45;Low Safety;0.09;High Safety;0.03;High Safety;0.07;High Safety;0.01;High Safety;0.28;Medium Safety;0.01;High Safety;0.03;High Safety;1;High Toxicity;0;High Safety;0.5;Low Toxicity;0.52;Low Toxicity;0.76;Medium Toxicity;0;High Safety;0.17;Medium Safety;0.72;Medium Toxicity;0.01;High Safety;0.8;Medium Toxicity;0.01;High Safety;0.1;High Safety;0.7;Medium Toxicity;0.45;Low Safety;0.84;High Toxicity;0.61;Low Toxicity;0.66;Low Toxicity
O=NN1CCOCC1;C19283;76326;N-Nitrosomorpholine;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.05;High Safety;0.01;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0.01;High Safety;1;High Toxicity;0.3;Medium Safety;0.47;Low Safety;0.16;High Safety;0.24;Medium Safety;0.57;Low Toxicity;0.61;Low Toxicity;0.24;Medium Safety;0.01;High Safety;0.88;High Toxicity;0.02;High Safety;0.21;Medium Safety;0.81;Medium Toxicity;0.43;Low Safety;0.98;High Toxicity;0.76;Medium Toxicity;0.32;Medium Safety
O1c2ccccc2Oc2ccccc12;C07732;28891;Dibenzo-p-dioxin;0;High Safety;0;High Safety;0.12;High Safety;0.02;High Safety;0.24;Medium Safety;0.03;High Safety;0.07;High Safety;0.07;High Safety;0.08;High Safety;0.03;High Safety;0.06;High Safety;0;High Safety;0.05;High Safety;0.02;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.97;High Toxicity;0.99;High Toxicity;0.5;Low Toxicity;0.09;High Safety;0.85;High Toxicity;0.01;High Safety;0.83;Medium Toxicity;0.09;High Safety;0.09;High Safety;0.24;Medium Safety;0.31;Medium Safety;0.97;High Toxicity;0.49;Low Safety;0.15;High Safety
OC(=O)\C=C/C(=C\C(O)=O)C(O)=O;C01163;15749;3-Carboxy-cis.cis-muconate;0.02;High Safety;0;High Safety;0;High Safety;0.06;High Safety;0.05;High Safety;0.02;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0.28;Medium Safety;0.16;High Safety;0;High Safety;0.01;High Safety;0.05;High Safety;0.22;Medium Safety;0.15;High Safety;0.52;Low Toxicity;0.57;Low Toxicity;0.36;Low Safety;0.01;High Safety;0.35;Low Safety;0.06;High Safety;0;High Safety;0.41;Low Safety;0.02;High Safety;0.14;High Safety;0.14;High Safety;0.33;Medium Safety;0.91;High Toxicity;0.21;Medium Safety;0.52;Low Toxicity
OC(=O)\C=C\c1ccc(O)c(O)c1;C01197;16433;Caffeate;1;High Toxicity;0;High Safety;0.24;Medium Safety;0.03;High Safety;0.2;Medium Safety;0.03;High Safety;0.03;High Safety;0.06;High Safety;0.02;High Safety;0.16;High Safety;0.03;High Safety;0.01;High Safety;0.15;High Safety;0.04;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.52;Low Toxicity;0.79;Medium Toxicity;0.15;High Safety;0.4;Low Safety;0.13;High Safety;0;High Safety;0.57;Low Toxicity;0.08;High Safety;0.03;High Safety;0.11;High Safety;0.29;Medium Safety;1;High Toxicity;0.13;High Safety;0.35;Low Safety
OC(=O)C(\O)=C/C=C\C(=O)c1ccccc1C(O)=O;C16264;80407;2-Hydroxy-6-oxo-6-(2-carboxyphenyl)-hexa-2.4-dienoate;0.04;High Safety;0.01;High Safety;0.02;High Safety;0.05;High Safety;0.25;Medium Safety;0;High Safety;0.04;High Safety;0.06;High Safety;0.03;High Safety;0.26;Medium Safety;0.03;High Safety;0.18;Medium Safety;0.03;High Safety;0.09;High Safety;0.32;Medium Safety;0.1;High Safety;0.5;Low Toxicity;0.46;Low Safety;0.55;Low Toxicity;0.21;Medium Safety;0.2;Medium Safety;0.23;Medium Safety;0;High Safety;0.65;Low Toxicity;0.02;High Safety;0.14;High Safety;0.25;Medium Safety;0.18;Medium Safety;0.98;High Toxicity;0.01;High Safety;0.54;Low Toxicity
OC(=O)C(=O)\C=C/c1ccccc1C(O)=O;C16149;49222;(3Z)-4-(2-Carboxyphenyl)-2-oxobut-3-enoate;0;High Safety;0;High Safety;0.05;High Safety;0.02;High Safety;0.26;Medium Safety;0.01;High Safety;0.04;High Safety;0.02;High Safety;0.03;High Safety;0.11;High Safety;0.03;High Safety;0.02;High Safety;0.02;High Safety;0.03;High Safety;0.41;Low Safety;0.1;High Safety;0.49;Low Safety;0.46;Low Safety;0.48;Low Safety;0.06;High Safety;0.14;High Safety;0.24;Medium Safety;0.01;High Safety;0.57;Low Toxicity;0.09;High Safety;0.05;High Safety;0.26;Medium Safety;0.2;Medium Safety;0.99;High Toxicity;0.07;High Safety;0.35;Low Safety
OC(=O)C(Cl)(Cl)Cl;C11150;30956;Trichloroacetate;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.03;High Safety;0.03;High Safety;0.06;High Safety;0.02;High Safety;0.01;High Safety;0.08;High Safety;0.06;High Safety;0;High Safety;0.01;High Safety;0.04;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.22;Medium Safety;0.72;Medium Toxicity;0.1;High Safety;0.04;High Safety;0;High Safety;0;High Safety;0.67;Medium Toxicity;0.08;High Safety;0.14;High Safety;0;High Safety;0.33;Medium Safety;0.82;Medium Toxicity;1;High Toxicity;0.24;Medium Safety
OC(=O)C1C=CC=CC1C(O)=O;C16215;80385;1.2-Dihydrophthalic acid;0.03;High Safety;0.02;High Safety;0.02;High Safety;0.05;High Safety;0.04;High Safety;0;High Safety;0.02;High Safety;0.01;High Safety;0.02;High Safety;0.08;High Safety;0.01;High Safety;0.06;High Safety;0.06;High Safety;0.01;High Safety;0.39;Low Safety;0.12;High Safety;0.49;Low Safety;0.47;Low Safety;0.33;Medium Safety;0.25;Medium Safety;0.7;Medium Toxicity;0.46;Low Safety;0.03;High Safety;0.47;Low Safety;0.02;High Safety;0.05;High Safety;0.48;Low Safety;0.17;Medium Safety;0.8;Medium Toxicity;0.4;Low Safety;0.49;Low Safety
OC(=O)c1cc(ccc1O)\N=N\c1ccc(cc1)S(=O)(=O)Nc1ccccn1;C07316;9334;Sulfasalazine;0;High Safety;0;High Safety;0.01;High Safety;0.02;High Safety;0.27;Medium Safety;0.01;High Safety;0.01;High Safety;0.05;High Safety;0.04;High Safety;0.31;Medium Safety;0;High Safety;0;High Safety;0.23;Medium Safety;0.1;High Safety;0;High Safety;0.04;High Safety;0.54;Low Toxicity;0.84;High Toxicity;0.98;High Toxicity;0.08;High Safety;0.06;High Safety;0.2;Medium Safety;0;High Safety;0.25;Medium Safety;0.18;Medium Safety;0.32;Medium Safety;0.31;Medium Safety;0.13;High Safety;0.04;High Safety;0.05;High Safety;0.97;High Toxicity
OC(=O)c1cc(O)c(O)cc1C(O)=O;C03233;17199;4.5-Dihydroxyphthalate;0.02;High Safety;0;High Safety;0.08;High Safety;0.05;High Safety;0.13;High Safety;0.16;High Safety;0.01;High Safety;0.02;High Safety;0.02;High Safety;0.2;Medium Safety;0.01;High Safety;0.02;High Safety;0.16;High Safety;0.1;High Safety;0.24;Medium Safety;0.15;High Safety;0.49;Low Safety;0.65;Low Toxicity;0.36;Low Safety;0.02;High Safety;0.73;Medium Toxicity;0.42;Low Safety;0;High Safety;0.51;Low Toxicity;0;High Safety;0.05;High Safety;0.46;Low Safety;0.24;Medium Safety;0.99;High Toxicity;0.1;High Safety;0.54;Low Toxicity
OC(=O)c1ccc(cc1)C(O)=O;C06337;15702;Terephthalate;0;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.11;High Safety;0;High Safety;0.02;High Safety;0;High Safety;0;High Safety;0.04;High Safety;0.01;High Safety;0.01;High Safety;0.05;High Safety;0.02;High Safety;0;High Safety;0.15;High Safety;0.49;Low Safety;0.53;Low Toxicity;0.23;Medium Safety;0.14;High Safety;0.96;High Toxicity;0.03;High Safety;0;High Safety;0.39;Low Safety;0.01;High Safety;0.05;High Safety;0.29;Medium Safety;0.14;High Safety;1;High Toxicity;0.43;Low Safety;0.3;Medium Safety
OC(=O)c1ccc(O)c(O)c1C(O)=O;C03223;17416;3.4-Dihydroxyphthalate;0;High Safety;0;High Safety;0.07;High Safety;0.05;High Safety;0.13;High Safety;0.1;High Safety;0.01;High Safety;0.03;High Safety;0.01;High Safety;0.18;Medium Safety;0.01;High Safety;0.02;High Safety;0.17;Medium Safety;0.06;High Safety;0.31;Medium Safety;0.15;High Safety;0.52;Low Toxicity;0.43;Low Safety;0.35;Low Safety;0.01;High Safety;0.74;Medium Toxicity;0.31;Medium Safety;0.03;High Safety;0.61;Low Toxicity;0;High Safety;0.12;High Safety;0.33;Medium Safety;0.26;Medium Safety;0.98;High Toxicity;0.06;High Safety;0.5;Low Toxicity
OC(=O)c1ccccc1-c1cccc(O)c1O;C16263;80406;2.3-Dihydroxy-2'-carboxybiphenyl;0;High Safety;0;High Safety;0.41;Low Safety;0.01;High Safety;0.37;Low Safety;0.25;Medium Safety;0.02;High Safety;0.18;Medium Safety;0.14;High Safety;0.3;Medium Safety;0.05;High Safety;0.04;High Safety;0.71;Medium Toxicity;0.05;High Safety;0.42;Low Safety;0.15;High Safety;0.5;Low Toxicity;0.92;High Toxicity;0.97;High Toxicity;0.54;Low Toxicity;0.36;Low Safety;0.11;High Safety;0.56;Low Toxicity;0.62;Low Toxicity;0.05;High Safety;0.05;High Safety;0.52;Low Toxicity;0.44;Low Safety;0.93;High Toxicity;0.01;High Safety;0.5;Low Toxicity
OC(=O)c1ccccc1O;C00805;16914;Salicylate;0;High Safety;0;High Safety;0.04;High Safety;0;High Safety;0.1;High Safety;0.03;High Safety;0.01;High Safety;0.02;High Safety;0;High Safety;0.03;High Safety;0.02;High Safety;0;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0.15;High Safety;0.5;Low Toxicity;0.58;Low Toxicity;0.65;Low Toxicity;0.57;Low Toxicity;0.8;Medium Toxicity;0.02;High Safety;0;High Safety;0;High Safety;0.02;High Safety;0.03;High Safety;0;High Safety;0.46;Low Safety;1;High Toxicity;0.43;Low Safety;0.28;Medium Safety
OC(=O)CN(CC(O)=O)CC(O)=O;C14695;44557;Nitrilotriacetic acid;0;High Safety;0;High Safety;0;High Safety;0;High Safety;0.04;High Safety;0.01;High Safety;0.01;High Safety;0;High Safety;0.01;High Safety;0.55;Low Toxicity;0.02;High Safety;0;High Safety;0;High Safety;0.01;High Safety;0;High Safety;0.09;High Safety;0.52;Low Toxicity;0.39;Low Safety;0.08;High Safety;0.01;High Safety;0.2;Medium Safety;0;High Safety;0;High Safety;0.38;Low Safety;0.08;High Safety;0.09;High Safety;0.05;High Safety;0.45;Low Safety;0.86;High Toxicity;0.42;Low Safety;0.69;Medium Toxicity
